	Col-0h	Col-12h	Col-24h	28-0h	28-12h	28-24h	60-0h	60-12h	60-24h
AT5G53980	-0.419790082	1.138554433	0.681621638	-0.2906626	1.833558706	0.777527185	0.263379681	0.862753928	0.020339222
AT5G53990	-0.439863882	0.113474841	0.678213526	0.1955056	0.43074714	0.431861972	0.095734666	0.040739212	1.852049454
AT5G54020	-0.014754251	-0.145367422	-0.605451865	0.009778984	-1.508342641	-1.288320008	-0.857204862	-1.405118298	-0.377120551
AT5G54060	0.123001306	-3.065329064	0.787898583	-0.7223832	-2.797184024	0.43172481	-0.378090359	-3.508534397	-0.310695529
AT5G54080	0.323143735	0.788167524	0.596449861	0.4830939	1.207902842	0.488620651	0.526719806	1.292459652	0.291599705
AT5G54110	-0.093436418	0.612951359	1.242555455	0.1898499	1.129135073	1.034736117	0.082593276	1.094332781	0.559733014
AT5G54130	0.018006588	-1.030504041	0.025745745	-0.2284614	-1.879991556	-0.118569867	0.002901455	-1.813507128	0.030709188
AT5G54145	0.01688162	-0.479621794	-0.497697106	-0.2784335	-0.46622448	-1.0669029	0.138073579	-0.801753431	0.14841115
AT5G54160	-0.377293574	0.39488664	1.186216093	-0.1639301	0.847847078	0.706237161	-0.049247842	0.989084436	-0.025873262
AT5G54165	-0.243189118	0.419737263	0.838354782	-0.01481034	1.878287081	0.90646986	0.622314911	1.642081741	0.917222525
AT5G54170	-0.110455551	0.239631655	1.352428498	-0.2419645	0.315561628	1.077646915	-0.060291052	0.280027179	0.671821925
AT5G54250	-0.044662311	-0.673635125	0.045223647	0.1209891	-0.94384745	0.081383162	-0.196802609	-1.053814628	0.172685866
AT5G54270	-0.416354041	-0.789585514	-1.596589144	-0.550147	-0.767885676	-1.439016137	-0.032859787	-1.407478301	-0.857716824
AT5G54370	-1.856620007	-1.59956227	-1.202836888	-2.700415	-4.479248405	-3.777702123	-2.596063545	-2.729446005	-3.255825963
